beginning,letter,special,anti,kangaroo,"
joey",secondjoey,antijoey,"kangaroodefinition
","joeydefinition
",secondjoeydefinition,antijoeydefinition,,,,
firstA,A,not-special,no-anti,"
aberrant",errant,0,0,(adj.) departing from an accepted standard.,(adj.) erring or straying from the proper course or standards.,0,0,,,,
0,A,not-special,no-anti,abnormality,anomaly,0,0,"(noun) an abnormal feature, characteristic, or occurrence, typically in a medical context.","(noun) something that deviates from what is standard, normal, or expected.",0,0,,,,
0,A,not-special,no-anti,abide,bide,0,0,"(verb) accept or act in accordance with (a rule, decision, or recommendation).
(informal) be unable to tolerate.",(verb) remain or stay somewhere.,0,0,,,,"
"
0,A,not-special,anti,abuse,0,0,use,(verb) use (something) to bad effect or for a bad purpose; misuse.,0,0,"(verb) take, hold, or deploy (something) as a means of accomplishing a purpose or achieving a result; employ.
",,,,
0,A,not-special,no-anti,acclimatize,acclimate,0,0,(verb) become accustomed to a new climate or to new conditions.,(technical) respond physiologically or behaviorally to a change in conditions in the natural environment.,0,0,,,,"
"
0,A,not-special,no-anti,accustomed,accustom,used,0,(adj.) customary; usual.,(verb) make (someone or something) accept something as normal or usual.,(verb) be or become familiar with someone or something through experience.,0,,,,
0,A,not-special,no-anti,acrid,acid,0,0,(adj.) having an irritatingly strong and unpleasant taste or smell.,(adj.) sharp-tasting or sour.,0,0,,,,
0,A,not-special,no-anti,action,act,0,0,"(noun) the fact or process of doing something, typically to achieve an aim.
(noun) doing something, typically the way in which a mechanism works or a person moves.
","(noun) fulfill the function or serve the purpose of.
(verb) perform a fictional role in a play, movie, or television production.


",0,0,,,,
0,A,not-special,no-anti,addlepated,addled,0,0,"(adj.) being mixed up, confused.
(adj.) eccentric.","(adj.) unable to think clearly; confused.
(of an egg) rotten.",0,0,,,,
0,A,not-special,no-anti,admixture,mixture,0,0,"(noun) a mixture.
(noun) the action of adding an ingredient to something else.
","(noun) a substance made by mixing other substances together.
(noun) the process of mixing or being mixed.
(noun) a combination of different qualities, things, or emotions in which the component elements are individually distinct.",0,0,,,,
0,A,not-special,no-anti,admonish,monish,0,0,(verb) advise or urge (someone) earnestly.,(verb) warn strongly; put on guard.,0,0,,,,
0,A,not-special,no-anti,adroitness,art,0,0,(noun) cleverness or skill.,"(noun) a skill at doing a specified thing, typically one acquired through practice.",0,0,,,,
0,A,not-special,no-anti,adventuresome,venturesome,0,0,(adj.) given to adventures or to running risks; adventurous.,(adj.) willing to take risks or embark on difficult or unusual courses of action.,0,0,,,,
0,A,not-special,no-anti,adventurous,venturous,0,0,"(adj.) willing to take risks or to try out new methods, ideas, or experiences.
(adj.) involving new ideas or methods.
(adj.) full of excitement.",(adj.) disposed to venture or take risks.,0,0,,,,
0,A,not-special,no-anti,affect,act,0,0,"(verb) have an effect on; make a difference to.
(verb) touch the feelings of (someone); move emotionally.",(verb) take effect; have a particular effect.,0,0,,,,
0,A,not-special,no-anti,aggravated,grated,0,0,"(adj.) (of an offense, problem, or injury made worse or more serious.
(informal) annoy or exasperate (someone), especially persistently.",(verb) have an irritating effect.,0,0,,,,
0,A,not-special,no-anti,allocate,allot,0,0,(verb) distribute (resources or duties) for a particular purpose.,(verb) give or apportion (something) to someone as a share or task.,0,0,,,,
0,A,not-special,no-anti,allurement,lure,0,0,(noun) the power to entice or attract through personal charm.,"(verb) tempt (a person or animal) to do something or to go somewhere, especially by offering some form of reward.",0,0,,,,
0,A,special,no-anti,alone,lone,one,0,"(adj.) having no one else present.
(adj.) isolated and alone.
(adv.) indicating that something is confined to the specified subject or recipient.","(adj.) having no comparisons; solitary or single.
(literary) (of a place) unfrequented and remote.
",(noun) single; just one as opposed to any more or to none at all (used for emphasis).,0,,,,
0,A,not-special,no-anti,alternative,alternate,0,0,"(adj.) (of one or more things) available as another possibility.
(noun) one of two or more available possibilities.","(verb)  occur in turn repeatedly.
(adj.) (of two things) each following and succeeded by the other in a regular pattern.",0,0,,,,
0,A,not-special,no-anti,amicable,amiable,0,0,(adj.) (of relations between people) having a spirit of friendliness; without serious disagreement or rancor.,(adj.) having or displaying a friendly and pleasant manner.,0,0,,,,
0,A,special,no-anti,amicability,amiability,amity,0,(adj.) having a disposition characterized by warmth and friendliness.,(noun) the quality of having a friendly and pleasant manner; geniality.,(noun) (formal) a friendly relationship.,0,,,,
0,A,not-special,no-anti,analogue,analog,0,0,"(adj.) relating to or using signals or information represented by a continuously variable physical quantity such as spatial position, voltage, etc.","(adj.) relating to or using signals or information represented by a continuously variable physical quantity such as spatial position, voltage, etc.
(adj.) not involving or relating to the use of computer technology, as a contrast to a digital counterpart.
(noun) a person or thing seen as comparable to another.",0,0,,,,
0,A,not-special,anti,animosity,0,0,amity,(noun) strong hostility.,0,0,(noun) (formal) a friendly relationship.,,,,
0,A,not-special,no-anti,antiquated,antique,0,0,"(adj.) old-fashioned or outdated.
","(noun) a collectible object such as a piece of furniture or work of art that has a high value because of its considerable age.
(adj.) belonging to ancient times.",0,0,,,,
0,A,not-special,no-anti,antiseptic,aseptic,0,0,"(adj.) relating to or denoting substances that prevent the growth of disease-causing microorganisms.
(adj.) scrupulously clean or pure, especially so as to be bland or characterless.","(adj.) free from contamination caused by harmful bacteria, viruses, or other microorganisms.",0,0,,,,
0,A,not-special,no-anti,applaud,laud,0,0,"(verb) show approval or praise by clapping.
","(verb) praise (a person or their achievements) highly, especially in a public context.",0,0,,,,
0,A,not-special,no-anti,applaudatory,laudatory,0,0,(adj.) full of praise or applause.,"(adj.) (of speech or writing) expressing praise and commendation.
",0,0,,,,
0,A,not-special,no-anti,apposite,apt,0,0,(adj.) apt in the circumstances or in relation to something.,(adj.) quick to learn,0,0,,,,
0,A,not-special,no-anti,appropriate,apt,0,0,"(adj.) suitable or proper in the circumstances.
(verb) take (something) for one's own use, typically without the owner's permission.
(verb) to assign to a special purpose.",(adj.) appropriate or suitable in the circumstances.,0,0,,,,
0,A,not-special,no-anti,arch,arc,0,0,"(noun) a curved symmetrical structure spanning an opening and typically supporting the weight of a bridge, roof, or wall above it.
(verb) form or cause to form the curved shape of an arch.","(noun) a part of the circumference of a circle or other curve.
",0,0,,,,
0,A,not-special,no-anti,arena,area,0,0,"(noun) a level area surrounded by seats for spectators, in which sports, entertainments, and other public events are held.","(noun) a region or part of a town, a country, or the world.",0,0,,,,
0,A,not-special,no-anti,arouse,rouse,0,0,"(verb) evoke or awaken (a feeling, emotion, or response).
(verb) excite or provoke (someone) to anger or strong emotions.","(verb) startle out of inactivity; cause to become active.
(verb) cause to feel angry or excited",0,0,,,,
0,A,not-special,no-anti,artifice,art,0,0,"(noun) clever or cunning devices or expedients, especially as used to trick or deceive others.","(noun) a skill at doing a specified thing, typically one acquired through practice.",0,0,,,,
0,A,not-special,no-anti,artistry,art,0,0,(noun) creative skill or ability.,(noun) the expression or application of human creative skill and imagination.,0,0,,,,
0,A,not-special,no-anti,asseverate,aver,0,0,(verb) declare or state solemnly or emphatically.,(verb) (formal) state or assert to be the case.,0,0,,,,
0,A,not-special,no-anti,astound,stun,0,0,(verb) shock or greatly surprise.,(verb) astonish or shock (someone) so that they are temporarily unable to react.,0,0,,,,
0,A,not-special,no-anti,avocation,vocation,0,0,(noun) (formal) a hobby or minor occupation.,(noun) a strong feeling of suitability for a particular career or occupation.,0,0,,,,
lastA,A,not-special,no-anti,axletree,axle,0,0,"(noun) a crossbar or rod supporting a vehicle, such as a cart, that has terminal spindles on which the wheels revolve.",(noun) a rod or spindle (either fixed or rotating) passing through the center of a wheel or group of wheels.,0,0,,,,
firstB,B,not-special,no-anti,balderdash,blash,0,0,(noun) senseless talk or writing; nonsense.,(noun) (British) a splash of liquid or mud.,0,0,,,"
",
0,B,not-special,no-anti,balsam,balm,0,0,"(noun) an aromatic resinous substance, such as balm, exuded by various trees and shrubs and used as a base for certain fragrances and medical and cosmetic preparations.",(noun) a fragrant ointment or preparation used to heal or soothe the skin.,0,0,,,,
0,B,not-special,no-anti,banish,ban,0,0,"(verb) send (someone) away from a country or place as an official punishment.
(verb) forbid, abolish, or get rid of (something unwanted). ","(verb) officially exclude (someone) from a place.
(noun) an official exclusion of a person from an organization, country, or activity",0,0,,,,
0,B,not-special,no-anti,barren,bare,0,0,"(adj.) (of land) too poor to produce much or any vegetation.
(adj.) devoid of","(adj.) without the appropriate, usual, or natural covering.
(adj.) devoid of; without.
(adj.) without addition; basic and simple.",0,0,,,,
0,B,not-special,no-anti,barricade,bar,0,0,(noun) an improvised barrier erected across a street or other thoroughfare to prevent or delay the movement of opposing forces.,(noun) a barrier or restriction to an action or advance.,0,0,,,,
0,B,not-special,no-anti,barricaded,barred,0,0,(verb) (past tense) shut (oneself or someone) into a place by blocking all the entrances.,"(adj.) closed or secured with a long rod or rigid piece of wood, metal, or similar material.",0,0,,,,
0,B,not-special,no-anti,barrier,bar,0,0,(noun) a fence or other obstacle that prevents movement or access.,(noun) a barrier or restriction to an action or advance.,0,0,,,,
0,B,not-special,no-anti,barristers,bar,0,0,"(noun) (British) a lawyer entitled to practice as an advocate, particularly in the higher courts.",(noun) a barrier or restriction to an action or advance.,0,0,,,,
0,B,not-special,anti,bearded,0,0,bare,(adj.) having a growth of hair on one's cheeks and chin.,0,0,(adj.) (of a person or part of the body) not clothed or covered.,,,,
0,B,not-special,no-anti,because,as,0,0,(conjunction) for the reason that; since.,"(conjunction) because; since.
(conjunction) used to indicate by comparison the way that something happens or is done.",0,0,,,,
0,B,not-special,no-anti,befall,be,0,0,(verb) (literary) used to indicate by comparison the way that something happens or is done.,(verb) occur; take place.,0,0,,,,
0,B,not-special,no-anti,befuddled,fuddled,0,0,(verb) make (someone) unable to think clearly.,"(adj.) confused or stupefied, especially as a result of drinking alcohol.
(verb) confuse or stupefy (someone), especially with alcohol.",0,0,,,,
0,B,not-special,no-anti,before,ere,0,0,"(preposition) (conjunction) (adverb) during the period of time preceding (a particular event, date, or time).
",(preposition) (conjunction) before (in time).,0,0,,,,
0,B,not-special,no-anti,belated,late,0,0,(adj) coming or happening later than should have been the case.,"(adj.) doing something or taking place after the expected, proper, or usual time.",0,0,,,,
0,B,not-special,no-anti,bemoan,moan,0,0,(verb) express discontent or sorrow over (something).,"(verb) make a long, low sound expressing physical or mental suffering or sexual pleasure.",0,0,,,,
0,B,not-special,no-anti,betwixt,twixt,0,0,"(preposition) (adverb) at, into, or across the space separating (two objects or regions).
(preposition) (adverb) in the period separating (two points in time)
",(preposition) contraction of betwixt,0,0,,,,
0,B,not-special,no-anti,blatherskite,blather,0,0,"(noun) a person who talks at great length without making much sense.
(noun) foolish talk; nonsense","(verb) talk long-windedly without making very much sense.
(noun) long-winded talk with no real substance.",0,0,,,,
0,B,not-special,no-anti,blossom,bloom,0,0,(verb) (of a tree or bush) produce flowers or masses of flowers.,(verb) produce flowers; be in flower.,0,0,,,,
0,B,not-special,no-anti,blotch,blot,0,0,"(noun) an irregular patch or unsightly mark on a surface, typically the skin.","(noun) a dark mark or stain, typically one made by ink, paint, or dirt.",0,0,,,,
0,B,not-special,no-anti,bombarded,bombed,0,0,"(verb) attack (a place or person) continuously with bombs, shells, or other missiles.
(verb) assail (someone) persistently, as with questions, criticisms, or information.","(adj.) (of an area or building) subjected to bombing.
(verb) (informal) (of a movie, play, or other event) fail miserably.",0,0,,,,
0,B,not-special,no-anti,brackets,braces,0,0,(noun) each of a pair of marks [ ] used to enclose words or figures so as to separate them from the context.,"(noun) (printing) either of the two marks { and }, used either to indicate that two or more items on one side have the same relationship as each other  or in pairs to show that words between them are connected.",0,0,,,,
0,B,not-special,no-anti,brash,rash,0,0,"(adj.) self-assertive in a rude, noisy, or overbearing way.
(adj.) strong, energetic, or irreverent.
(adj.) (of a place or thing) having an ostentatious or tasteless appearance.",(adj.) displaying or proceeding from a lack of careful consideration of the possible consequences of an action.,0,0,,,,
0,B,not-special,no-anti,brashness,brass,0,0,"(adj.) being self-assertive in a rude, noisy, or overbearing way.",(noun) (informal) a person's hardness or effrontery.,0,0,,,,
0,B,not-special,no-anti,breathe,be,0,0,"(verb) give an impression of (something).
(verb) be alive; remain living","(verb) exist.
(verb) having the state, quality, identity, nature, role, etc., specified.",0,0,,,,
lastB,B,not-special,no-anti,"burst
",bust,0,0,"(verb) (of a container) break suddenly and violently apart, spilling the contents, typically as a result of an impact or internal pressure.
(noun) an instance of breaking or splitting as a result of internal pressure or puncturing; an explosion.","(verb) (informal) break, split, or burst (something).",0,0,,,,
firstC,C,not-special,no-anti,cacodemon,demon,0,0,(noun) a malevolent spirit or person.,"(noun) an evil spirit or devil, especially one thought to possess a person or act as a tormentor in hell.",0,0,,,,
0,C,not-special,no-anti,calumnies,lies,0,0,"(noun) the making of false and defamatory statements about someone in order to damage their reputation; slander.
(noun) a false and slanderous statement.",(verb) tell a lie or lies.,0,0,,,,
0,C,not-special,no-anti,canister,"case
",0,0,"(noun) a round or cylindrical container, typically one made of metal, used for storing such things as food, chemicals, or rolls of film.",(noun) a container designed to hold or protect something.,0,0,,,,
0,C,not-special,no-anti,capable,able,0,0,"(adj.) having the ability, fitness, or quality necessary to do or achieve a specified thing.","(adj.) having the power, skill, means, or opportunity to do something.
",0,0,,,,
0,C,not-special,no-anti,capability,ability,0,0,(noun) the power or ability to do something.,(noun) possession of the means or skill to do something.,0,0,,,,
0,C,not-special,no-anti,capsule,case,0,0,"(noun) a small case or container, especially a round or cylindrical one.",(noun) a container designed to hold or protect something.,0,0,,,,
0,C,not-special,no-anti,cartoon,art,0,0,"(noun) a simple drawing showing the features of its subjects in a humorously exaggerated way, especially a satirical one in a newspaper or magazine.","(noun) subjects of study primarily concerned with the processes and products of human creativity and social life, such as languages, literature, and history (as contrasted with scientific or technical subjects).",0,0,,,,
0,C,not-special,no-anti,casket,case,0,0,"(noun) a small ornamental box or chest for holding jewels, letters, or other valuable objects.",(noun) a container designed to hold or protect something.,0,0,,,,
0,C,not-special,no-anti,catacomb,tomb,0,0,"(noun) an underground cemetery consisting of a subterranean gallery with recesses for tombs, as constructed by the ancient Romans.","(noun) a large vault, typically an underground one, for burying the dead.",0,0,,,,
0,C,not-special,no-anti,catalogue,catalog,0,0,(verb) make a systematic list of (items of the same type).,"(verb) list (similar situations, qualities, or events) in succession.",0,0,,,,
0,C,not-special,no-anti,cavern,cave,0,0,"(noun) a cave, or a chamber in a cave, typically a large one.","(noun) a large underground chamber, typically of natural origin, in a hillside or cliff.",0,0,,,,
0,C,not-special,no-anti,charge,care,0,0,(verb) entrust (someone) with a task as a duty or responsibility.,(verb) feel concern or interest; attach importance to something.,0,0,,,,
0,C,not-special,no-anti,charisma,charm,0,0,(noun) compelling attractiveness or charm that can inspire devotion in others.,(noun) the power or quality of giving delight or arousing admiration.,0,0,,,,"
"
0,C,not-special,no-anti,chicken,hen,0,0,"(noun) a domestic fowl kept for its eggs or meat, especially a young one.","(noun) a female bird, especially of a domestic fowl.",0,0,,,,
0,C,not-special,no-anti,chocolate,cocoa,0,0,"(noun) a food preparation in the form of a paste or solid block made from roasted and ground cacao seeds, typically sweetened.",(noun) a chocolate powder made from roasted and ground cacao seeds.,0,0,,,,"
"
0,C,not-special,no-anti,cleanse,clean,0,0,"(verb) make (something, especially the skin) thoroughly clean.","(adj.) free from dirt, marks, or stains.",0,0,,,,
0,C,not-special,no-anti,cleanser,cleaner,0,0,"(noun) a substance that cleanses something, especially a cosmetic product for cleansing the skin.","(adj.) free from dirt, marks, or stains.",0,0,,,,
0,C,not-special,no-anti,cloistered,closed,0,0,"(adj.) kept away from the outside world; sheltered.
(adj.) having or enclosed by a cloister, as in a monastery.",(adj.) not open.,0,0,,,,
0,C,not-special,no-anti,closemouthed,mute,0,0,(adj.) reticent; discreet.,(adj.) refraining from speech or temporarily speechless.,0,0,,,,
0,C,not-special,no-anti,clue,cue,0,0,(noun) a fact or idea that serves as a guide or aid in a task or problem.,(noun) a thing said or done that serves as a signal to an actor or other performer to enter or to begin their speech or performance.,0,0,,,,
0,C,not-special,no-anti,clump,lump,0,0,(noun) a compacted mass or lump of something.,"(noun) a compact mass of a substance, especially one without a definite or regular shape.",0,0,,,,
0,C,not-special,anti,communicative,0,0,mute,"(adj.) ready to talk or impart information.
",0,0,(adj.) refraining from speech or temporarily speechless.,,,,
0,C,not-special,no-anti,community,county,city,0,(noun) a group of people living in the same place or having a particular characteristic in common.,"(noun) (in the US) a political and administrative division of a state, providing certain local governmental services.",(noun) a large town.,0,,,,
0,C,"special
",no-anti,complaisant,compliant,pliant,0,(adj.) willing to please others; obliging; agreeable.,"(adj.) inclined to agree with others or obey rules, especially to an excessive degree; acquiescent.",(adj.) pliable.,0,,,,
0,C,not-special,no-anti,completionist,completist,0,0,(noun) (in a video game) a player who attempts to complete every challenge and earn every achievement or trophy.,"(noun) an obsessive, typically indiscriminate, collector or fan of something.",0,0,,,,
0,C,not-special,no-anti,concatenate,catenate,0,0,(verb) link (things) together in a chain or series.,(third-person transitive verb) to connect in a series,0,0,,,,
0,C,not-special,no-anti,concede,"cede
",0,0,"(verb) admit that something is true or valid after first denying or resisting it.
(verb) surrender or yield (something that one possesses).",(verb) give up (power or territory).,0,0,,,,
0,C,not-special,no-anti,concession,cession,0,0,"(noun) a thing that is granted, especially in response to demands; a thing conceded.

","(noun) the formal giving up of rights, property, or territory by a state.",0,0,,,,
0,C,not-special,no-anti,confabulate,confab,0,0,"(verb) (formal) engage in conversation; talk.
(psychiatry) fabricate imaginary experiences as compensation for loss of memory.","(noun) an informal private conversation or discussion.
(verb) engage in informal private conversation.",0,0,,,,
0,C,not-special,no-anti,confederated,one,0,0,(verb) bring (states or groups of people) into an alliance,"(number) a single person or thing, viewed as taking the place of a group.",0,0,,,,
0,C,not-special,no-anti,conjoin,join,0,0,(verb) join; combine.,(verb) unite to form one entity or group.,0,0,,,,
0,C,not-special,no-anti,consummated,mated,0,0,(verb) make (a marriage or relationship) complete by having sexual intercourse.,(verb) (of animals or birds) come together for breeding; copulate.,0,0,,,,
0,C,not-special,no-anti,container,can,"
tin",0,(noun) an object that can be used to hold or transport something.,(noun) a cylindrical metal container.,(noun) an airtight container made of tinplate or aluminium.,0,,,,
0,C,not-special,no-anti,contaminate,taint,0,0,(verb) make (something) impure by exposure to or addition of a poisonous or polluting substance.,"(verb) contaminate or pollute (something).
(verb) affect with a bad or undesirable quality.",0,0,,,,
0,C,not-special,no-anti,contradictory,contrary,0,0,(adj.) mutually opposed or inconsistent.,"(adj.) opposite in nature, direction, or meaning.",0,0,,,,
0,C,not-special,anti,convent,0,0,coven,"(noun) a Christian community under monastic vows, especially one of nuns.",0,0,(noun) a group or gathering of witches who meet regularly.,,,,
0,C,not-special,no-anti,cooled,cold,0,0,"(adj.) made less hot
(verb) become or cause to become less hot","(adj.) of or at a low or relatively low temperature, especially when compared with the human body.",0,0,,,,
0,C,not-special,no-anti,corporeal,corporal,0,0,"(adj.) relating to a person's body, especially as opposed to their spirit.","(adj.) relating to the human body.
(noun) a low-ranking noncommissioned officer in the armed forces.",0,0,,,,
0,C,not-special,anti,courteous,0,0,curt,"(adj.) polite, respectful, or considerate in manner.",0,0,(adj.) rudely brief.,,,,
0,C,not-special,anti,"covert
",0,0,overt,(adj.) not openly acknowledged or displayed.,0,0,"(adj.) done or shown openly; plainly or readily apparent, not secret or hidden.",,,,
0,C,not-special,no-anti,cozen,con,0,0,(verb) trick or deceive.,"(verb) persuade (someone) to do or believe something, typically by use of a deception.
",0,0,,,,
lastC,C,not-special,no-anti,curtail,cut,0,0,(verb) reduce in extent or quantity; impose a restriction on.,(verb) reduce the amount or quantity of.,0,0,,,,
firstD,D,not-special,no-anti,damsel,dame,0,0,(noun) a young unmarried woman.,"(noun) (in the UK) the title given to a woman equivalent to the rank of knight.
(informal) (North American) a woman.",0,0,,,,
0,D,not-special,no-anti,daub,dab,0,0,(verb) coat or smear (a surface) with a thick or sticky substance in a carelessly rough or liberal way.,(verb) press against (something) lightly with a piece of absorbent material in order to clean or dry it.,0,0,,,,
0,D,not-special,no-anti,dazzle,"daze
",0,0,(verb) (of a bright light) blind (a person) temporarily.,"(verb) make (someone) unable to think or react properly; stupefy; bewilder.
(noun) a state of stunned confusion or bewilderment.",0,0,,,,
0,D,not-special,no-anti,debar,bar,0,0,(verb) exclude or prohibit (someone) officially from doing something.,"(noun) a barrier or restriction to an action or advance.
(verb) prevent or prohibit (someone) from doing something or from going somewhere.",0,0,,,,
0,D,not-special,no-anti,deboned,"
boned",0,0,"(verb) remove the bones from (meat, poultry, or fish), especially before cooking.",(adj.) (of meat or fish) having had the bones removed before cooking or serving.,0,0,,,,
0,D,not-special,no-anti,deceased,dead,0,0,(noun) a person who has died.,(adj.) no longer alive.,0,0,,,,
0,D,not-special,no-anti,deception,con,0,0,(noun) the action of deceiving someone.,"(verb) persuade (someone) to do or believe something, typically by use of a deception.",0,0,,,,
0,D,not-special,no-anti,decoration,decor,0,0,(noun) the process or art of decorating or adorning something.,(noun) the furnishing and decoration of a room.,0,0,,,,
0,D,not-special,no-anti,definitive,definite,0,0,(adj.) (of a conclusion or agreement) done or reached decisively and with authority.,(adj.) clearly stated or decided; not vague or doubtful.,0,0,,,,
0,D,not-special,no-anti,deliberated,debated,0,0,(verb) engage in long and careful consideration.,"(verb) argue about (a subject), especially in a formal manner.",0,0,,,,
0,D,not-special,no-anti,delineation,lineation,0,0,(noun) the action of describing or portraying something precisely.,(noun) the action or process of drawing lines or marking with lines.,0,0,,,,
